time,i_C,i_L,i_d,i_s,u_R,u_out
1.0680000000000006E-5,0.15201924741268158,22.152019500732422,-1.4437848221859895E-5,22.15203285217285,0.036484621465206146,58.89759826660156
1.0690000000000006E-5,0.1600266396999359,22.16002655029297,-1.4437840036407579E-5,22.16004180908203,0.03840639442205429,58.9000358581543
1.0700000000000006E-5,0.16803379356861115,22.168033599853516,-1.4437831850955263E-5,22.168048858642578,0.04032811149954796,58.90250015258789
1.0710000000000006E-5,0.17604070901870728,22.176040649414062,-1.4437823665502947E-5,22.176055908203125,0.04224976897239685,58.904991149902344
1.0720000000000006E-5,0.1840473711490631,22.18404769897461,-1.4437816389545333E-5,22.18406105041504,0.044171370565891266,58.90750503540039
1.0730000000000006E-5,0.19205379486083984,22.192052841186523,-1.4437808204093017E-5,22.192068099975586,0.04609290882945061,58.9100456237793
1.0740000000000006E-5,0.20005996525287628,22.20005989074707,-1.44378000186407E-5,22.200075149536133,0.04801439121365547,58.91261291503906
1.0750000000000005E-5,0.20806588232517242,22.208065032958984,-1.4437791833188385E-5,22.208080291748047,0.04993581026792526,58.91520690917969
1.0760000000000005E-5,0.21607153117656708,22.21607208251953,-1.4437783647736069E-5,22.21608543395996,0.05185716971755028,58.917823791503906
1.0770000000000005E-5,0.22407694160938263,22.224077224731445,-1.4437775462283753E-5,22.224090576171875,0.05377846583724022,58.920467376708984
1.0780000000000005E-5,0.2320820838212967,22.23208236694336,-1.4437768186326139E-5,22.23209571838379,0.055699702352285385,58.92313766479492
1.0790000000000005E-5,0.24008697271347046,22.240087509155273,-1.4437760000873823E-5,22.240100860595703,0.05762087181210518,58.92583465576172
1.0800000000000005E-5,0.24809159338474274,22.248090744018555,-1.4437751815421507E-5,22.248106002807617,0.0595419816672802,58.92855453491211
1.0810000000000005E-5,0.2560959458351135,22.25609588623047,-1.443774362996919E-5,22.25611114501953,0.06146302819252014,58.93130111694336
1.0820000000000005E-5,0.26410001516342163,22.26409912109375,-1.4437735444516875E-5,22.264114379882812,0.06338400393724442,58.93407440185547
1.0830000000000006E-5,0.27210384607315063,22.272104263305664,-1.443772816855926E-5,22.272117614746094,0.06530492007732391,58.93687438964844
1.0840000000000006E-5,0.28010737895965576,22.280107498168945,-1.4437719983106945E-5,22.280120849609375,0.06722576916217804,58.939697265625
1.0850000000000006E-5,0.2881106436252594,22.288110733032227,-1.4437711797654629E-5,22.288124084472656,0.0691465511918068,58.94254684448242
1.0860000000000006E-5,0.29611361026763916,22.296113967895508,-1.4437703612202313E-5,22.296127319335938,0.07106726616621017,58.9454231262207
1.0870000000000006E-5,0.30411630868911743,22.30411720275879,-1.4437695426749997E-5,22.30413055419922,0.07298791408538818,58.948326110839844
1.0880000000000006E-5,0.3121187388896942,22.312118530273438,-1.4437688150792383E-5,22.3121337890625,0.07490849494934082,58.95125198364258
1.0890000000000006E-5,0.3201208710670471,22.32012176513672,-1.4437679965340067E-5,22.32013511657715,0.07682900875806808,58.95420455932617
1.0900000000000006E-5,0.32812270522117615,22.328123092651367,-1.443767177988775E-5,22.328136444091797,0.07874944806098938,58.957183837890625
1.0910000000000006E-5,0.3361242711544037,22.336124420166016,-1.4437663594435435E-5,22.336137771606445,0.0806698203086853,58.96018981933594
1.0920000000000006E-5,0.34412550926208496,22.344125747680664,-1.4437655408983119E-5,22.344139099121094,0.08259012550115585,58.963218688964844
